instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,16384,5681,4950,2447,1640,1666,227,4723,81,2366,0,1640,5347,29,0.006449435
1,RedBlackBST,16384,5681,4950,2447,1640,1666,227,4723,68,2379,0,1640,5347,16,0.006236124
2,BST,16384,5763,4809,2533,1634,1645,220,4589,89,2444,1,1633,5459,28,0.006676912
2,RedBlackBST,16384,5763,4809,2533,1634,1645,220,4589,69,2464,2,1632,5459,17,0.005758418
3,BST,16384,5758,4871,2396,1696,1663,212,4659,89,2307,0,1696,5450,27,0.005291685
3,RedBlackBST,16384,5758,4871,2396,1696,1663,212,4659,75,2321,1,1695,5450,17,0.004973824
4,BST,16384,5720,4884,2461,1639,1680,198,4686,88,2373,2,1637,5405,28,0.004909564
4,RedBlackBST,16384,5720,4884,2461,1639,1680,198,4686,77,2384,3,1636,5405,16,0.005126468
5,BST,16384,5624,4957,2485,1650,1668,200,4757,89,2396,1,1649,5300,24,0.005220511
5,RedBlackBST,16384,5624,4957,2485,1650,1668,200,4757,72,2413,1,1649,5300,16,0.005020959
6,BST,16384,5702,4963,2439,1631,1649,200,4763,99,2340,0,1631,5392,29,0.004952256
6,RedBlackBST,16384,5702,4963,2439,1631,1649,200,4763,80,2359,0,1631,5392,16,0.004803028
7,BST,16384,5843,4796,2467,1609,1669,204,4592,87,2380,0,1609,5543,28,0.005052358
7,RedBlackBST,16384,5843,4796,2467,1609,1669,204,4592,75,2392,0,1609,5543,17,0.005737246
8,BST,16384,5789,4837,2439,1659,1660,217,4620,86,2353,1,1658,5443,28,0.008063513
8,RedBlackBST,16384,5789,4837,2439,1659,1660,217,4620,67,2372,2,1657,5443,18,0.008826197
9,BST,16384,5704,4896,2501,1679,1604,177,4719,84,2417,0,1679,5385,29,0.008952415
9,RedBlackBST,16384,5704,4896,2501,1679,1604,177,4719,73,2428,0,1679,5385,17,0.008689461
10,BST,16384,5764,4872,2509,1665,1574,197,4675,110,2399,1,1664,5430,28,0.00852247
10,RedBlackBST,16384,5764,4872,2509,1665,1574,197,4675,91,2418,3,1662,5430,17,0.008446153
